sim,risk_difference,b,c,p_value,significant
0,0.10000000000000003,87,55,0.009043246714205942,True
1,0.10000000000000003,86,54,0.008556547961075816,True
2,0.10000000000000003,78,46,0.005161224901988027,True
3,0.10000000000000003,90,58,0.010582643402853352,True
4,0.10000000000000003,83,51,0.007178115485500778,True
5,0.10000000000000003,95,63,0.013401204087274656,True
6,0.10000000000000003,78,46,0.005161224901988027,True
7,0.10000000000000003,85,53,0.008083354723191848,True
8,0.10000000000000003,86,54,0.008556547961075816,True
9,0.10000000000000003,77,45,0.004800874060088957,True
10,0.10000000000000003,84,52,0.007623827173866254,True
11,0.10000000000000003,87,55,0.009043246714205942,True
12,0.10000000000000003,90,58,0.010582643402853352,True
13,0.10000000000000003,87,55,0.009043246714205942,True
14,0.10000000000000003,87,55,0.009043246714205942,True
15,0.10000000000000003,85,53,0.008083354723191848,True
16,0.10000000000000003,91,59,0.011121593847224862,True
17,0.10000000000000003,92,60,0.011673129672852299,True
18,0.10000000000000003,84,52,0.007623827173866254,True
19,0.10000000000000003,88,56,0.009543281732431077,True
20,0.10000000000000003,85,53,0.008083354723191848,True
21,0.10000000000000003,85,53,0.008083354723191848,True
22,0.10000000000000003,86,54,0.008556547961075816,True
23,0.10000000000000003,83,51,0.007178115485500778,True
24,0.10000000000000003,98,66,0.015235025933514215,True
25,0.10000000000000003,81,49,0.00632868451075427,True
26,0.10000000000000003,86,54,0.008556547961075816,True
27,0.10000000000000003,87,55,0.009043246714205942,True
28,0.10000000000000003,82,50,0.00674635885953615,True
29,0.10000000000000003,88,56,0.009543281732431077,True
30,0.10000000000000003,87,55,0.009043246714205942,True
31,0.10000000000000003,93,61,0.012237048519511287,True
32,0.10000000000000003,87,55,0.009043246714205942,True
33,0.10000000000000003,90,58,0.010582643402853352,True
34,0.10000000000000003,82,50,0.00674635885953615,True
35,0.10000000000000003,89,57,0.010056475566925294,True
36,0.10000000000000003,83,51,0.007178115485500778,True
37,0.10000000000000003,87,55,0.009043246714205942,True
38,0.10000000000000003,84,52,0.007623827173866254,True
39,0.10000000000000003,84,52,0.007623827173866254,True
40,0.10000000000000003,88,56,0.009543281732431077,True
41,0.10000000000000003,73,41,0.0035046837846087926,True
42,0.10000000000000003,81,49,0.00632868451075427,True
43,0.10000000000000003,89,57,0.010056475566925294,True
44,0.10000000000000003,86,54,0.008556547961075816,True
45,0.10000000000000003,82,50,0.00674635885953615,True
46,0.10000000000000003,82,50,0.00674635885953615,True
47,0.10000000000000003,85,53,0.008083354723191848,True
48,0.10000000000000003,85,53,0.008083354723191848,True
49,0.10000000000000003,83,51,0.007178115485500778,True
50,0.10000000000000003,85,53,0.008083354723191848,True
51,0.10000000000000003,89,57,0.010056475566925294,True
52,0.10000000000000003,85,53,0.008083354723191848,True
53,0.10000000000000003,88,56,0.009543281732431077,True
54,0.10000000000000003,88,56,0.009543281732431077,True
55,0.10000000000000003,85,53,0.008083354723191848,True
56,0.10000000000000003,90,58,0.010582643402853352,True
57,0.10000000000000003,89,57,0.010056475566925294,True
58,0.10000000000000003,79,47,0.005536025163897779,True
59,0.10000000000000003,93,61,0.012237048519511287,True
60,0.10000000000000003,84,52,0.007623827173866254,True
61,0.10000000000000003,84,52,0.007623827173866254,True
62,0.10000000000000003,94,62,0.012813143553546106,True
63,0.10000000000000003,87,55,0.009043246714205942,True
64,0.10000000000000003,86,54,0.008556547961075816,True
65,0.10000000000000003,88,56,0.009543281732431077,True
66,0.10000000000000003,86,54,0.008556547961075816,True
67,0.10000000000000003,86,54,0.008556547961075816,True
68,0.10000000000000003,86,54,0.008556547961075816,True
69,0.10000000000000003,85,53,0.008083354723191848,True
70,0.10000000000000003,80,48,0.005925206606743149,True
71,0.10000000000000003,81,49,0.00632868451075427,True
72,0.10000000000000003,86,54,0.008556547961075816,True
73,0.10000000000000003,84,52,0.007623827173866254,True
74,0.10000000000000003,89,57,0.010056475566925294,True
75,0.10000000000000003,82,50,0.00674635885953615,True
76,0.10000000000000003,89,57,0.010056475566925294,True
77,0.10000000000000003,88,56,0.009543281732431077,True
78,0.10000000000000003,83,51,0.007178115485500778,True
79,0.10000000000000003,84,52,0.007623827173866254,True
80,0.10000000000000003,87,55,0.009043246714205942,True
81,0.10000000000000003,87,55,0.009043246714205942,True
82,0.10000000000000003,81,49,0.00632868451075427,True
83,0.10000000000000003,90,58,0.010582643402853352,True
84,0.10000000000000003,86,54,0.008556547961075816,True
85,0.10000000000000003,85,53,0.008083354723191848,True
86,0.10000000000000003,87,55,0.009043246714205942,True
87,0.10000000000000003,89,57,0.010056475566925294,True
88,0.10000000000000003,84,52,0.007623827173866254,True
89,0.10000000000000003,84,52,0.007623827173866254,True
90,0.10000000000000003,85,53,0.008083354723191848,True
91,0.10000000000000003,88,56,0.009543281732431077,True
92,0.10000000000000003,88,56,0.009543281732431077,True
93,0.10000000000000003,95,63,0.013401204087274656,True
94,0.10000000000000003,91,59,0.011121593847224862,True
95,0.10000000000000003,87,55,0.009043246714205942,True
96,0.10000000000000003,89,57,0.010056475566925294,True
97,0.10000000000000003,91,59,0.011121593847224862,True
98,0.10000000000000003,91,59,0.011121593847224862,True
99,0.10000000000000003,84,52,0.007623827173866254,True
100,0.10000000000000003,85,53,0.008083354723191848,True
101,0.10000000000000003,82,50,0.00674635885953615,True
102,0.10000000000000003,82,50,0.00674635885953615,True
103,0.10000000000000003,81,49,0.00632868451075427,True
104,0.10000000000000003,90,58,0.010582643402853352,True
105,0.10000000000000003,84,52,0.007623827173866254,True
106,0.10000000000000003,92,60,0.011673129672852299,True
107,0.10000000000000003,79,47,0.005536025163897779,True
108,0.10000000000000003,81,49,0.00632868451075427,True
109,0.10000000000000003,91,59,0.011121593847224862,True
110,0.10000000000000003,85,53,0.008083354723191848,True
111,0.10000000000000003,93,61,0.012237048519511287,True
112,0.10000000000000003,88,56,0.009543281732431077,True
113,0.10000000000000003,80,48,0.005925206606743149,True
114,0.10000000000000003,90,58,0.010582643402853352,True
115,0.10000000000000003,83,51,0.007178115485500778,True
116,0.10000000000000003,77,45,0.004800874060088957,True
117,0.10000000000000003,85,53,0.008083354723191848,True
118,0.10000000000000003,85,53,0.008083354723191848,True
119,0.10000000000000003,86,54,0.008556547961075816,True
120,0.10000000000000003,89,57,0.010056475566925294,True
121,0.10000000000000003,92,60,0.011673129672852299,True
122,0.10000000000000003,81,49,0.00632868451075427,True
123,0.10000000000000003,96,64,0.014001016159629528,True
124,0.10000000000000003,86,54,0.008556547961075816,True
125,0.10000000000000003,89,57,0.010056475566925294,True
126,0.10000000000000003,85,53,0.008083354723191848,True
127,0.10000000000000003,83,51,0.007178115485500778,True
128,0.10000000000000003,80,48,0.005925206606743149,True
129,0.10000000000000003,87,55,0.009043246714205942,True
130,0.10000000000000003,87,55,0.009043246714205942,True
131,0.10000000000000003,101,69,0.017168697345158922,True
132,0.10000000000000003,84,52,0.007623827173866254,True
133,0.10000000000000003,87,55,0.009043246714205942,True
134,0.10000000000000003,84,52,0.007623827173866254,True
135,0.10000000000000003,84,52,0.007623827173866254,True
136,0.10000000000000003,90,58,0.010582643402853352,True
137,0.10000000000000003,84,52,0.007623827173866254,True
138,0.10000000000000003,83,51,0.007178115485500778,True
139,0.10000000000000003,81,49,0.00632868451075427,True
140,0.10000000000000003,84,52,0.007623827173866254,True
141,0.10000000000000003,88,56,0.009543281732431077,True
142,0.10000000000000003,81,49,0.00632868451075427,True
143,0.10000000000000003,82,50,0.00674635885953615,True
144,0.10000000000000003,76,44,0.004455023177550954,True
145,0.10000000000000003,84,52,0.007623827173866254,True
146,0.10000000000000003,83,51,0.007178115485500778,True
147,0.10000000000000003,79,47,0.005536025163897779,True
148,0.10000000000000003,80,48,0.005925206606743149,True
149,0.10000000000000003,87,55,0.009043246714205942,True
150,0.10000000000000003,87,55,0.009043246714205942,True
151,0.10000000000000003,89,57,0.010056475566925294,True
152,0.10000000000000003,80,48,0.005925206606743149,True
153,0.10000000000000003,90,58,0.010582643402853352,True
154,0.10000000000000003,85,53,0.008083354723191848,True
155,0.10000000000000003,77,45,0.004800874060088957,True
156,0.10000000000000003,88,56,0.009543281732431077,True
157,0.10000000000000003,82,50,0.00674635885953615,True
158,0.10000000000000003,97,65,0.014612363079529685,True
159,0.10000000000000003,82,50,0.00674635885953615,True
160,0.10000000000000003,79,47,0.005536025163897779,True
161,0.10000000000000003,83,51,0.007178115485500778,True
162,0.10000000000000003,83,51,0.007178115485500778,True
163,0.10000000000000003,84,52,0.007623827173866254,True
164,0.10000000000000003,83,51,0.007178115485500778,True
165,0.10000000000000003,85,53,0.008083354723191848,True
166,0.10000000000000003,82,50,0.00674635885953615,True
167,0.10000000000000003,83,51,0.007178115485500778,True
168,0.10000000000000003,85,53,0.008083354723191848,True
169,0.10000000000000003,88,56,0.009543281732431077,True
170,0.10000000000000003,84,52,0.007623827173866254,True
171,0.10000000000000003,83,51,0.007178115485500778,True
172,0.10000000000000003,92,60,0.011673129672852299,True
173,0.10000000000000003,77,45,0.004800874060088957,True
174,0.10000000000000003,77,45,0.004800874060088957,True
175,0.10000000000000003,87,55,0.009043246714205942,True
176,0.10000000000000003,90,58,0.010582643402853352,True
