model_name,n_pairs,standard_rate,wrapper_rate,risk_difference,ci_low,ci_high,mcnemar_p_value
gpt-5.5,300,0.4633333333333333,0.27,0.19333333333333333,0.13333333333333333,0.25333333333333335,5.972063885729783e-09
claude-opus-4-8,300,0.5833333333333334,0.15333333333333332,0.43,0.37,0.49,4.3000938430765786e-27
gemini-3.5-flash,300,0.8066666666666666,0.5066666666666667,0.3,0.24,0.36333333333333334,2.5455265231177944e-16
grok-4.3,300,0.12,0.056666666666666664,0.06333333333333334,0.02,0.10666666666666667,0.007290358091535644
